Business Name,Google Maps URL,AI Analysis
Colombo,https://www.google.com/maps/place/?q=place_id:ChIJA3B6D9FT4joRjYPTMk0uCzI,No links found.
Maya,https://www.google.com/maps/place/?q=place_id:ChIJw6ZaeI5a4joRb9Wh8RwPVlU,No links found.
Thissa Homestay,https://www.google.com/maps/place/?q=place_id:ChIJh1v7XFta4joRFlinqHnQLWU,No links found.
Leisure Villa,https://www.google.com/maps/place/?q=place_id:ChIJY_o0pvRa4joRfyagHsxwl-g,Link to booking.com.
Colombo Homesay,https://www.google.com/maps/place/?q=place_id:ChIJ0T95UUFa4joRFeVVTLVGqZI,No links found.
Breeze Villa,https://www.google.com/maps/place/?q=place_id:ChIJ532KQl9a4joR74uaIDOVjbA,No links found.
Grand Royale Boutique,https://www.google.com/maps/place/?q=place_id:ChIJ--HRqkVa4joRCJLw74bjffw,No links found.
Nugegoda_Sri lanka,https://www.google.com/maps/place/?q=place_id:ChIJf7SMHD5a4joRdlGmdoIqWvs,No links found.
U Residence,https://www.google.com/maps/place/?q=place_id:ChIJHR99IkZa4joRAblEYDWoPME,No links found.
Fully Furnished,https://www.google.com/maps/place/?q=place_id:ChIJE1vC2vla4joRqG1latHBQVE,No website link found.
Villa iVy crest,https://www.google.com/maps/place/?q=place_id:ChIJe4fgs_dZ4joRNITfIttp9tI,No website link found.
Eco Friendly Beautiful Suite,https://www.google.com/maps/place/?q=place_id:ChIJ08-nI2da4joRbAOL6-lE5qQ,No website link found.
Wishing Well Apartment,https://www.google.com/maps/place/?q=place_id:ChIJjX-hQ5Fa4joR1gQ7Avc8XSw,Website is a hotel booking platform.
The Loft Colombo,https://www.google.com/maps/place/?q=place_id:ChIJW3skRjda4joRvrAUGiGIGrQ,No website link found.
Sri Jayawardenepura Kotte,https://www.google.com/maps/place/?q=place_id:ChIJT4qaN5BZ4joRSQtBZlJ6iEs,No website link found.
Colombo - EI Team Guest House,https://www.google.com/maps/place/?q=place_id:ChIJQxaSB5Ra4joRdWjnpE2vGhE,No website found.
Silvikris Villa,https://www.google.com/maps/place/?q=place_id:ChIJtVHTME9a4joReArzD7XmZE0,"The link is to booking.com, a third-party platform."
Mr.Chinthaka Kohomban,https://www.google.com/maps/place/?q=place_id:ChIJw23OQGZa4joRoF9lG7jQKLI,No website found.
Miyako Tiles,https://www.google.com/maps/place/?q=place_id:ChIJe33eREda4joRyXlUEbYHrac,No website found.
Serene,https://www.google.com/maps/place/?q=place_id:ChIJ1b8piEJa4joRCKQNjx8wDrk,No website found.
Primeg,https://www.google.com/maps/place/?q=place_id:ChIJYYAcYWta4joRDPMBWf9TlSs,No website found.
Lalix Hotel Colombo,https://www.google.com/maps/place/?q=place_id:ChIJ4Zy4nvJa4joRus8-BHWzReU,No website links found.
Colombo Hub,https://www.google.com/maps/place/?q=place_id:ChIJ22ehYE9a4joRvuWH4W6nAjs,No website links found.
Cultaral House Homestay,https://www.google.com/maps/place/?q=place_id:ChIJzyE9NT5a4joR5C_7L98_xPw,No website links found.
Highlevel Plaza,https://www.google.com/maps/place/?q=place_id:ChIJOaKFyWZa4joRZwolPUFHPZM,No website links found.
Euroceylon Software (Pvt) Ltd,https://www.google.com/maps/place/?q=place_id:ChIJ7RqlsEZa4joRPajaxWLj6RM,No website links found.
Digi Media Production (pvt) Ltd,https://www.google.com/maps/place/?q=place_id:ChIJ61S43kFa4joRGKOpuIrNyzc,No website links found.
International Academy of Beauticians (Pvt) Ltd.,https://www.google.com/maps/place/?q=place_id:ChIJI6v_EGda4joRYwHKBcbGKbc,No website link found.
Pet Shine Animal Clinic,https://www.google.com/maps/place/?q=place_id:ChIJE0VyG3xa4joRwO44bylHt3Y,"Website is a blog, which is not a clear business website."
Shu Limit,https://www.google.com/maps/place/?q=place_id:ChIJdyv4EEVa4joRBEwpX3EWrvI,The website link does not appear to be related to the business.
LIB Photo Enterprise,https://www.google.com/maps/place/?q=place_id:ChIJAUEwVUFa4joRq4O0bmZuTe0,Link is to Facebook page.
7th Post Pictures,https://www.google.com/maps/place/?q=place_id:ChIJ2T5lzlxa4joR8Qn475Mi8dI,No website link was found.
Whiter Smiles Dental Clinic,https://www.google.com/maps/place/?q=place_id:ChIJxXhk-vJZ4joRnowU1VAITAI,No website link was found.
Sierra Technology Holdings,https://www.google.com/maps/place/?q=place_id:ChIJ7an0yUFa4joRvUSnHd6tYTU,No website link was found.
Deepika Gunasekera Salons - Bridal Salon,https://www.google.com/maps/place/?q=place_id:ChIJo3gXJGda4joRiu3lucYbiZc,No website link was found.
